Date,Open,High,Low,Close,Adj Close,Volume
2011-03-01,69.250000,70.769997,66.500000,69.070000,49.888500,1467100
2011-04-01,69.400002,71.760002,67.889999,71.750000,52.298435,650300
2011-05-01,71.989998,73.589996,71.000000,72.860001,53.107510,1063500
2011-06-01,72.639999,72.820000,70.290001,71.980003,52.466068,1276600
2011-07-01,72.040001,73.360001,70.910004,71.180000,52.372551,987500
2011-08-01,71.699997,72.699997,62.939999,72.459999,53.314342,2724900
2011-09-01,72.680000,74.669998,69.230003,71.459999,52.578564,1861000
2011-10-01,71.510002,75.669998,67.730003,74.300003,55.199329,1969100
2011-11-01,73.339996,75.519997,70.720001,75.089996,55.786221,1865300
2011-12-01,74.940002,77.489998,73.430000,76.889999,57.123501,1987200
2012-01-01,77.459999,77.570000,73.000000,74.120003,55.572884,2226400
2012-02-01,74.180000,75.449997,73.930000,74.589996,55.925274,1522700
2012-03-01,74.589996,76.379997,73.459999,74.839996,56.112698,1712500
2012-04-01,74.860001,76.209999,72.870003,76.150002,57.640667,1152900
2012-05-01,76.080002,76.910004,75.000000,76.279999,57.739071,1226700
2012-06-01,75.500000,79.760002,75.500000,78.510002,59.427040,1870800
2012-07-01,78.400002,81.529999,77.820000,80.669998,61.624229,1605300
2012-08-01,80.800003,84.919998,77.459999,77.690002,59.347809,9371900
2012-09-01,77.570000,79.059998,77.120003,77.980003,59.569347,1590600
2012-10-01,78.010002,80.120003,77.570000,79.000000,60.959538,1347000
2012-11-01,79.080002,79.169998,72.639999,75.989998,58.636906,2506900
2012-12-01,76.089996,77.610001,73.730003,75.300003,58.104454,1989700
2013-01-01,76.400002,79.220001,75.739998,79.209999,61.762058,2274200
2013-02-01,79.379997,81.330002,78.639999,81.040001,63.188976,1308900
2013-03-01,80.769997,84.830002,80.349998,84.750000,66.081764,1856400
2013-04-01,84.820000,89.540001,84.260002,89.529999,70.420036,2758000
2013-05-01,89.349998,89.440002,81.570000,82.190002,64.646721,3901300
2013-06-01,82.279999,83.849998,78.500000,82.190002,64.646721,5045700
2013-07-01,82.419998,86.870003,79.879997,85.830002,68.173653,2124500
2013-08-01,86.160004,86.760002,80.879997,81.260002,64.543747,1335800
2013-09-01,81.760002,84.529999,79.709999,81.620003,64.829712,1819400
2013-10-01,81.900002,86.250000,80.580002,84.879997,68.078186,2664800
2013-11-01,84.750000,86.500000,82.900002,83.129997,66.674591,1675100
2013-12-01,83.190002,84.139999,81.769997,83.279999,66.794876,1438000
2014-01-01,83.150002,85.739998,81.500000,85.570000,69.319687,2956400
2014-02-01,85.750000,89.419998,83.620003,88.410004,71.620354,2095800
2014-03-01,88.209999,90.809998,86.500000,90.519997,73.329659,2517800
2014-04-01,90.629997,94.500000,89.480003,93.910004,76.703629,4139900
2014-05-01,94.000000,94.540001,89.989998,93.220001,76.140060,1946200
2014-06-01,93.279999,96.820000,91.050003,96.699997,78.982430,3809800
2014-07-01,96.709999,96.709999,89.959999,89.980003,74.069473,3422700
2014-08-01,89.739998,94.620003,87.570000,94.610001,77.880798,4187000
2014-09-01,94.570000,95.309998,89.900002,91.320000,75.172539,2734700
2014-10-01,91.320000,99.370003,90.809998,98.959999,82.157768,3393900
2014-11-01,99.110001,101.150002,97.470001,99.760002,82.821930,2903400
2014-12-01,99.760002,106.830002,97.610001,102.349998,84.972191,5984300
2015-01-01,102.639999,107.790001,101.160004,104.580002,87.542900,4118800
