Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2/24/16,BTCUSD,420.03,425.6,410,422.79,6934.44,2920576.74
2/23/16,BTCUSD,436.9,440.9,414.16,420.03,9076.31,3868142.62
2/22/16,BTCUSD,438.15,439,431.12,436.9,4932.6,2152669.15
2/21/16,BTCUSD,441.89,448.7,426.01,438.15,7102,3102226.52
2/20/16,BTCUSD,419.06,444.03,418.87,441.89,9441.56,4075360.79
2/19/16,BTCUSD,421.32,422,416,419.06,5578.81,2340007.53
2/18/16,BTCUSD,416.26,423.2,414.24,421.32,6479.33,2715762.02
2/17/16,BTCUSD,406.89,420.13,405.69,416.26,8502.56,3528038.43
2/16/16,BTCUSD,399.11,407.5,390,406.89,5323.92,2150298
2/15/16,BTCUSD,404.53,409.09,394.03,399.11,6695.34,2693303.79
2/14/16,BTCUSD,388.37,404.54,388.2,404.53,7458.72,2973028.96
2/13/16,BTCUSD,381.97,396,381.26,388.37,5660.69,2198312.71
2/12/16,BTCUSD,376.89,382,376.51,381.97,6215.18,2360918.55
2/11/16,BTCUSD,378.56,379.5,361.1,376.89,10074.12,3779575.26
2/10/16,BTCUSD,372.9,383.34,371.87,378.56,9666.55,3636013.93
2/9/16,BTCUSD,370.68,374.93,370.13,372.9,8438.16,3139974.15
2/8/16,BTCUSD,377.77,379.35,370.5,370.68,7080.05,2654777.81
2/7/16,BTCUSD,374.92,379.81,373.24,377.77,4054.75,1525629.4
2/6/16,BTCUSD,384.46,384.54,370.05,374.92,6314.53,2375552.75
2/5/16,BTCUSD,390.08,390.49,382.99,384.46,7303.25,2818899.27
2/4/16,BTCUSD,367,390.63,366.96,390.08,8968.44,3404242.55
2/3/16,BTCUSD,372.85,373.01,365.63,367,6937.95,2570982.85
2/2/16,BTCUSD,370.62,374.41,370.58,372.85,6889.93,2568773.99
2/1/16,BTCUSD,369.82,379,365,370.62,8101.5,3012667.05
1/31/16,BTCUSD,379.23,382.5,367.33,369.82,5059.48,1913002.46
1/30/16,BTCUSD,379.39,382.04,375,379.23,4283.56,1623147.42
1/29/16,BTCUSD,379.96,385.05,363.25,379.39,11940.43,4488371.77
1/28/16,BTCUSD,394.93,395,377.12,379.96,8864.29,3408772.87
1/27/16,BTCUSD,389.21,397.18,388.77,394.93,6264.62,2469329.53
1/26/16,BTCUSD,392.91,397,387.78,389.21,6856,2694178.75
1/25/16,BTCUSD,403.45,403.94,386.41,392.91,6384,2516592.93
1/24/16,BTCUSD,389.52,406.93,385,403.45,3630.65,1451785.99
1/23/16,BTCUSD,383.01,398.72,380.26,389.52,6279.09,2450742.09
1/22/16,BTCUSD,408.97,413.99,373.86,383.01,13321.19,5228249.9
1/21/16,BTCUSD,413.88,424.78,403.21,408.97,9143.04,3777526.39
1/20/16,BTCUSD,375.96,425.1,369,413.88,13499.26,5361492.24
1/19/16,BTCUSD,383.14,385.5,370,375.96,8030.16,3046483.04
1/18/16,BTCUSD,381.01,386.1,370.1,383.14,8946.25,3399845.35
1/17/16,BTCUSD,386.57,391,378.42,381.01,8757.44,3377012.19
1/16/16,BTCUSD,373.43,387.81,350.92,386.57,18198.94,6743136.29
1/15/16,BTCUSD,429.69,430.67,359.8,373.43,27319.74,10862409.27
1/14/16,BTCUSD,432.68,435.27,428,429.69,5499.3,2375810.73
1/13/16,BTCUSD,446.57,446.57,425,432.68,9754.5,4212281.54
1/12/16,BTCUSD,449.33,449.49,445.22,446.57,5739.9,2567018.77
1/11/16,BTCUSD,449.14,452.65,445.88,449.33,5572.68,2503083.94
1/10/16,BTCUSD,451.07,451.45,442.96,449.14,3885.82,1736428.18
1/9/16,BTCUSD,454.06,456,447.66,451.07,4194.88,1896757.44
1/8/16,BTCUSD,458.49,464.4,447.53,454.06,9564.11,4368140.37
1/7/16,BTCUSD,432.44,458.68,430.21,458.49,12531.7,5637785.2
1/6/16,BTCUSD,432.67,433.46,428.15,432.44,5369.1,2318672.51
1/5/16,BTCUSD,433.42,435.51,430,432.67,5120.61,2218755.4
1/4/16,BTCUSD,432.51,435.79,431.37,433.42,5836.26,2532533.29
1/3/16,BTCUSD,435.74,435.88,425.02,432.51,3920.35,1688824.56
1/2/16,BTCUSD,435.43,437.56,432.41,435.74,3278.08,1426939.51
1/1/16,BTCUSD,430.12,437.15,427.92,435.43,3894.26,1686757.39
12/31/15,BTCUSD,428.2,434,419.04,430.12,6396.83,2735415.63
12/30/15,BTCUSD,432.59,434.99,422.35,428.2,5066.16,2176128.38
12/29/15,BTCUSD,421.28,433,419.31,432.59,6013.97,2564563.51
12/28/15,BTCUSD,425.01,429.9,418,421.28,6864.21,2913800.23
12/27/15,BTCUSD,419.76,429.85,410.02,425.01,5562.86,2343122.3
12/26/15,BTCUSD,456.09,458.29,410,419.76,13272.92,5695782.79
12/25/15,BTCUSD,456,458.99,450.01,456.09,3442.71,1567809.63
12/24/15,BTCUSD,443.77,460,442,456,7020.69,3188793.34
12/23/15,BTCUSD,434.88,445.11,428.29,443.77,7455.28,3269700.45
12/22/15,BTCUSD,436.61,442,432.58,434.88,6466.68,2824300.2
12/21/15,BTCUSD,442.26,444.44,424.66,436.61,6840.03,2975490.47
12/20/15,BTCUSD,460.9,461.4,430,442.26,8251.43,3677038.1
12/19/15,BTCUSD,462.5,465.6,451.58,460.9,6946.83,3201413.25
12/18/15,BTCUSD,455.5,465.1,453.28,462.5,4930.71,2269506.57
12/17/15,BTCUSD,453.63,456.33,446.01,455.5,6187.21,2802476.5
12/16/15,BTCUSD,463.64,464.73,440,453.63,35969.03,16373751.57
12/15/15,BTCUSD,441.98,464.95,441.77,463.64,10524.31,4804681.48
12/14/15,BTCUSD,436.29,450,429.12,441.98,160540.99,71246836.97
12/13/15,BTCUSD,436.01,443.83,419.42,436.29,6428.01,2801886.68
12/12/15,BTCUSD,451.34,469.34,403,436.01,28635.94,12493274.54
12/11/15,BTCUSD,416.18,452.73,415.67,451.34,13066.6,5707813.63
12/10/15,BTCUSD,417.44,419.5,408,416.18,6848.2,2848181.35
12/9/15,BTCUSD,409.2,425,401,417.44,14296.19,5923286.43
12/8/15,BTCUSD,395.28,409.2,386.69,409.2,6706.2,2650822.8
12/7/15,BTCUSD,393.26,397.57,383,395.28,7450.8,2925052.19
12/6/15,BTCUSD,387,401.01,375.22,393.26,9400.68,3688924.73
12/5/15,BTCUSD,363.25,390,363.25,387,8615.5,3238953.02
12/4/15,BTCUSD,361.33,364.85,355.43,363.25,5828.13,2105311.65
12/3/15,BTCUSD,360.23,369.99,356.52,361.33,7200.93,2616658.73
12/2/15,BTCUSD,362.56,363.06,349.59,360.23,8231.07,2933751.25
12/1/15,BTCUSD,378.23,378.94,354.6,362.56,9357.22,3423256.15
11/30/15,BTCUSD,371.04,382.87,367,378.23,11431.2,4295141.92
11/29/15,BTCUSD,355.94,373.63,354.26,371.04,5194.56,1886836.8
11/28/15,BTCUSD,359.99,360,351.09,355.94,5518,1960030.5
11/27/15,BTCUSD,356.88,364.46,347.96,359.99,7373.93,2632396.27
11/26/15,BTCUSD,328.07,368.18,328.03,356.88,13908.21,4820726.55
11/25/15,BTCUSD,319.49,330.06,316.26,328.07,7794.68,2524344.05
11/24/15,BTCUSD,323.01,323.17,318,319.49,5194.49,1669246.72
11/23/15,BTCUSD,323.59,326,322,323.01,4748.68,1537847.99
11/22/15,BTCUSD,325.22,327,321,323.59,3378.49,1094959.85
11/21/15,BTCUSD,321.85,328,316.33,325.22,5147.59,1666020.3
11/20/15,BTCUSD,325.5,327.12,311.23,321.85,9224.03,2950546.24
11/19/15,BTCUSD,336.59,336.59,324.9,325.5,6700.81,2213544.98
11/18/15,BTCUSD,336,338,330,336.59,5173.52,1730599.43
11/17/15,BTCUSD,332.1,340.72,330.1,336,7247.61,2435724.03
11/16/15,BTCUSD,321.13,334.1,316.12,332.1,7340.55,2388564.1
11/15/15,BTCUSD,333.49,336.46,320,321.13,6242.57,2042181.14
11/14/15,BTCUSD,335,339.57,329.4,333.49,5960.51,1993712.42
11/13/15,BTCUSD,336.19,343,325,335,10519.03,3524031.49
11/12/15,BTCUSD,307.54,344.99,307.25,336.19,15695.79,5150951.91
11/11/15,BTCUSD,338.46,341.75,293.32,307.54,17757.39,5596526.74
11/10/15,BTCUSD,381,382.23,322,338.46,16387.91,5808412.16
11/9/15,BTCUSD,373.91,386.96,360.8,381,10839.36,4061818.61
11/8/15,BTCUSD,386.7,389,363.58,373.91,7450.76,2834422.59
11/7/15,BTCUSD,371.37,392,368.24,386.7,8508.45,3260497.4
11/6/15,BTCUSD,384.2,395,351,371.37,20222.01,7536080.38
